2018iri
Match Key,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red DP,Blue DP,Prediction,Blue Win %,Winner,Correct,Component Brier Score
2018iri_qm27,88,2363,302,195,1640,4944,82.33647249785275,91.95629818437835,BLUE,0.7516671011438864,BLUE,True,0.06166922865428077
2018iri_qm28,2655,359,133,4499,2468,494,91.79917125009412,79.37329406014273,RED,0.1930080213215771,RED,True,0.03725209629447036
2018iri_qm29,1747,1710,3478,2056,2771,3452,81.06563402431382,98.34237534238395,BLUE,0.8796434799777724,BLUE,True,0.01448569191186088
2018iri_qm30,4967,3940,1720,2337,2168,3641,72.8542335185603,93.77767331103,BLUE,0.9175034622740103,BLUE,True,0.00680567873677565
2018iri_qm31,2013,6800,4587,1706,2614,319,67.49078656866887,91.81003899475503,BLUE,0.9426681180742355,BLUE,True,0.003286944685149808
2018iri_qm32,33,2481,384,2791,3357,3538,90.26210555077229,98.53125671416858,BLUE,0.7215214779648529,RED,False,0.5205932431645857
2018iri_qm33,865,1806,2590,2826,4028,1741,93.47104398906443,80.06694776564238,RED,0.1760700470243466,RED,True,0.03100066145915562
2018iri_qm34,469,1102,868,234,225,1731,82.50217778708293,98.86506412445232,BLUE,0.8680523656975677,BLUE,True,0.017410178198008403
2018iri_qm35,67,118,1619,3707,5406,1533,102.78879833631446,99.06723478711963,RED,0.39449392917906423,RED,True,0.15562546015913653
2018iri_qm36,2771,494,4265,195,245,6800,84.0207796736202,83.19903410807896,RED,0.4763658867993778,BLUE,False,0.274192684507402
2018iri_qm37,5254,319,4587,384,2655,3641,80.86030474140539,89.98688582942628,BLUE,0.7409162981243991,RED,False,0.5489569608263634
2018iri_qm38,359,20,3357,865,1024,1720,92.46547347066928,78.2337105804342,RED,0.16267032626557906,RED,True,0.02646163504734994
2018iri_qm39,868,3847,3538,2590,88,469,94.69165078114267,84.0545893712412,RED,0.22712146279457426,BLUE,False,0.5973412332727986
2018iri_qm40,340,2168,1218,118,1102,33,87.51047887626382,93.00555253615612,BLUE,0.6530886790930119,BLUE,True,0.12034746457343125
2018iri_qm41,3707,624,2056,2468,1731,1706,100.92019828967858,87.22329270014833,RED,0.1712329035619134,RED,True,0.029320707262243534
2018iri_qm42,4028,1710,694,67,133,2834,80.13980519538649,99.80996605903553,BLUE,0.9059034166558305,RED,False,0.8206610003087073
2018iri_qm43,829,708,2013,4944,2791,4967,73.49384114124486,81.2548913190058,BLUE,0.7096168507480183,BLUE,True,0.08432237336949869
2018iri_qm44,1806,2826,225,2363,1533,1640,87.54614564961662,85.98500713852678,RED,0.45518739177808476,RED,True,0.20719556163373562
2018iri_qm45,5406,234,2451,3452,1741,2337,90.83817787971319,95.2497410302172,BLUE,0.6243140512568794,RED,False,0.3897680345967775
2018iri_qm46,302,1747,1746,1619,2481,217,82.26913120581689,98.81228081826018,BLUE,0.8704113242108348,BLUE,True,0.016793224892789376
2018iri_qm47,3478,469,4499,3940,2614,67,72.41141887800993,92.47593125095705,BLUE,0.9097028701371781,BLUE,True,0.008153571661463323
2018iri_qm48,1720,1731,340,2771,1218,4028,84.63522521729453,85.53944319317472,BLUE,0.5260020071977292,BLUE,True,0.2246740971805816
2018iri_qm49,3847,865,225,4967,494,1710,92.81832402570447,78.42190523691826,RED,0.1601047403695799,RED,True,0.025633527888810584
2018iri_qm50,708,359,1640,3452,3357,5254,84.42318684882167,91.27590746818464,BLUE,0.6876055337443207,RED,False,0.4728013700358121
2018iri_qm51,5406,2834,2655,1806,829,195,93.25759922127439,91.41191927580834,RED,0.44707604966560816,BLUE,False,0.3057248948533891
2018iri_qm52,2590,217,20,234,2013,3940,97.91887217002952,77.48683320107436,RED,0.08688111328109853,RED,True,0.007548327844963075
2018iri_qm53,245,694,3478,2168,868,624,87.18834346273951,92.4027777318279,BLUE,0.6457327006183501,RED,False,0.4169707206478677
2018iri_qm54,1024,118,6800,384,302,2056,82.15928414394043,96.10334828579522,BLUE,0.8327675389426361,BLUE,True,0.02796669603130273
2018iri_qm55,2468,2614,2337,2826,1747,2481,89.6908505225403,83.77506334455008,RED,0.3360202628402064,RED,True,0.11290961703920141
2018iri_qm56,4944,2451,1619,1102,3538,319,86.85055926104582,96.18614644918884,BLUE,0.7455085181028993,BLUE,True,0.06476591435818232
2018iri_qm57,4499,2791,3707,1533,4587,1741,84.22496995328345,85.65624783947976,BLUE,0.5411025260612536,RED,False,0.29279194370986966
2018iri_qm58,1706,33,88,1746,3641,2363,85.87068738080472,77.96530204447457,RED,0.28697096029386276,RED,True,0.08235233205198175
2018iri_qm59,133,384,1806,4265,1720,3478,91.04814729984585,72.44086303927394,RED,0.10505833519664229,RED,True,0.011037253794290047
2018iri_qm60,1640,4028,2468,469,2168,2013,82.73045713213367,72.31455298479882,RED,0.23162196191832982,BLUE,False,0.5904048094062365
2018iri_qm61,1731,4944,2655,3357,694,1747,87.94167258832515,98.82027335273274,BLUE,0.7777228495716685,BLUE,True,0.049407131602539116
2018iri_qm62,2481,340,195,4587,4967,2590,95.54459520475312,86.82462166940317,RED,0.26817060546516075,RED,True,0.07191547363555091
