Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018tes_qm61,frc525,frc85,frc4810,157.99120860445805,frc533,frc1073,frc7226,114.56806763403092,0.23819121205779864,RED,True,0.0567350535015632
2018tes_qm62,frc238,frc7068,frc3197,147.53439004830344,frc597,frc4531,frc4678,149.63626968609015,0.5140653483342973,BLUE,True,0.23613248568946782
2018tes_qm63,frc3098,frc6802,frc1792,142.01651224352833,frc4391,frc1310,frc527,154.61103616404623,0.5835123657714724,RED,False,0.34048668100822055
2018tes_qm64,frc2869,frc6077,frc2590,198.90681323079713,frc1241,frc3546,frc291,196.1813938325198,0.48176532871713756,BLUE,False,0.26856717451965656
2018tes_qm65,frc4939,frc743,frc5172,153.21513715716256,frc3550,frc2614,frc708,164.3853730174085,0.5742162879843672,BLUE,True,0.18129176941781133
2018tes_qm66,frc4618,frc6090,frc1360,208.2988362355941,frc6618,frc1506,frc2500,122.52676000555705,0.09141468931418041,RED,True,0.00835664542240813
2018tes_qm67,frc2609,frc2168,frc340,209.91675673205484,frc5567,frc3623,frc1720,131.25786737818237,0.10851188534619816,RED,True,0.011774829261386455
2018tes_qm68,frc4678,frc314,frc4472,173.94120900879346,frc1729,frc3770,frc533,145.04539824735565,0.31568714568657874,BLUE,False,0.46828408257858173
2018tes_qm69,frc6077,frc527,frc1712,173.39982848558188,frc1073,frc4391,frc3197,159.04110735586912,0.40505552599668,RED,True,0.1640699791404471
2018tes_qm70,frc2590,frc2474,frc1310,201.27174608216848,frc5528,frc525,frc597,169.88085823440474,0.30143636794427725,RED,True,0.0908638839194377
2018tes_qm71,frc4039,frc6090,frc85,204.78821369335085,frc3667,frc5172,frc1241,210.35549311779585,0.5371960806764446,BLUE,True,0.21418746774124395
2018tes_qm72,frc3623,frc5114,frc5090,145.68475243604954,frc2500,frc4939,frc708,120.15846378545226,0.33549237743067584,RED,True,0.11255513531408705
2018tes_qm73,frc6574,frc4618,frc3098,165.78966607942758,frc573,frc5675,frc1676,149.49261593295563,0.3926131283075726,RED,True,0.15414506851945847
2018tes_qm74,frc1360,frc4810,frc743,130.80553892813148,frc6618,frc340,frc1792,163.49754577474334,0.7058481107210771,BLUE,True,0.08652533396635971
2018tes_qm75,frc1506,frc5567,frc321,113.2940392977008,frc2056,frc238,frc3546,214.12253538587146,0.9370034430935441,BLUE,True,0.003968566182068336
2018tes_qm76,frc2609,frc3550,frc3038,124.77718468055032,frc3641,frc4531,frc2869,155.17965530809005,0.6929619064071653,BLUE,True,0.09427239091712235
2018tes_qm77,frc7226,frc2168,frc291,172.1352378561573,frc6802,frc6911,frc3258,81.31491908591418,0.08079118227398667,RED,True,0.006527215133228538
2018tes_qm78,frc7068,frc4680,frc2169,78.29937842860947,frc1720,frc2614,frc319,227.40362961109082,0.9818746793632703,BLUE,True,0.0003285272481842584
2018tes_qm79,frc5980,frc4039,frc1073,143.00858822564726,frc597,frc4939,frc4618,154.88707935800304,0.5788459344537691,BLUE,True,0.17737074692611896
2018tes_qm80,frc4391,frc3770,frc5528,171.89820660696648,frc3623,frc3197,frc3667,146.52760482302594,0.3364223049992907,BLUE,False,0.4403353573024544
2018tes_qm81,frc1506,frc1712,frc525,192.6069672728808,frc2869,frc6574,frc5172,133.57916884792343,0.17073533510451863,RED,True,0.029150554653252274
2018tes_qm82,frc3546,frc1360,frc3641,205.79086560810993,frc4531,frc7226,frc6802,103.99670207037582,0.06148752144363443,RED,True,0.003780715293281404
2018tes_qm83,frc1729,frc2590,frc2614,229.03781781337716,frc527,frc2168,frc238,204.50116922588967,0.34142502856296614,RED,True,0.11657105012922224
2018tes_qm85,frc2474,frc1792,frc85,154.1777828532248,frc3258,frc3038,frc6077,141.40856035166405,0.4153513463158982,RED,True,0.1725167408864292
2018tes_qm86,frc6618,frc3550,frc5980,124.71293535772789,frc7068,frc533,frc5114,124.33611127599349,0.49747772629872605,BLUE,False,0.25252863556589816
2018tes_qm87,frc5090,frc1676,frc4472,139.9869886385625,frc4680,frc2609,frc321,97.74027114744587,0.24395373479515423,BLUE,False,0.571605955130196
2018tes_qm88,frc5675,frc6090,frc319,220.13189425033863,frc340,frc291,frc4678,203.191051666594,0.3885103368477829,BLUE,False,0.3739196081420119
2018tes_qm89,frc1310,frc2500,frc573,112.13128364216176,frc314,frc743,frc6911,101.43227321569444,0.4288712449149653,BLUE,False,0.32618805488498154
2018tes_qm90,frc1720,frc5172,frc1506,181.8319175393289,frc3098,frc1073,frc1729,164.68232796278403,0.387183377860722,BLUE,False,0.37554421237019464
2018tes_qm91,frc1712,frc7068,frc3667,117.23144744533064,frc533,frc6802,frc4939,134.0659584324277,0.6108130992122418,RED,False,0.37309264216926397
2018tes_qm92,frc2168,frc1241,frc6618,225.52354896364758,frc4680,frc3641,frc3197,171.1553961695406,0.1891310548713619,RED,True,0.035770555916754106
2018tes_qm93,frc5114,frc3038,frc4618,163.21174263323462,frc4678,frc321,frc4810,97.68440551770375,0.1474874308120635,RED,True,0.02175254224754322
2018tes_qm94,frc4531,frc3258,frc5980,115.10844125109911,frc2169,frc6090,frc1310,154.16981358732005,0.7399750272850968,BLUE,True,0.06761298643538616
2018tes_qm95,frc5567,frc2590,frc3098,215.1390558105786,frc743,frc6077,frc4472,155.70711192661375,0.1692087440789141,RED,True,0.028631599072763445
2018tes_qm96,frc2614,frc3546,frc573,169.49770912264478,frc5528,frc4039,frc3623,166.88596376078203,0.48252524245127376,RED,True,0.23283060960266053
2018tes_qm97,frc319,frc7226,frc238,209.9105023751704,frc3550,frc1792,frc2500,80.02438686741957,0.029956263838317402,RED,True,0.0008973777431508828
2018tes_qm98,frc708,frc340,frc597,179.31573793028778,frc2609,frc6574,frc4391,146.57503485046686,0.2938812574325684,RED,True,0.08636619347014753
2018tes_qm99,frc527,frc314,frc5675,144.95598986319158,frc1720,frc5090,frc525,148.58724614067913,0.52428690849356,RED,False,0.2748767624177345
2018tes_qm100,frc2056,frc3770,frc2869,171.79521462239947,frc1676,frc6911,frc2474,121.31185814659273,0.2056001324508204,RED,True,0.04227141446379489
2018tes_qm101,frc85,frc1360,frc6618,202.98754960498732,frc291,frc2614,frc2169,175.89701915558277,0.3262206904096348,BLUE,False,0.45397855803206927
