2018iri
Match Key,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red DP,Blue DP,Prediction,Blue Win %,Winner,Correct,Component Brier Score
2018iri_qm17,217,2655,2826,67,20,1102,242.17799808034857,231.69961945296575,RED,0.4251683565633382,RED,True,0.18076813142276987
2018iri_qm18,2614,5406,340,494,865,302,270.35261357303966,256.6030297139654,RED,0.4023351168710752,BLUE,False,0.3572033125255114
2018iri_qm19,1619,2363,1024,694,5254,2468,225.42682966679703,200.78867187180595,RED,0.3297881924602438,RED,True,0.10876025188619481
2018iri_qm20,4265,3707,2168,234,3847,1747,241.50069441882601,201.95653851129202,RED,0.24265608714856912,RED,True,0.05888197663025397
2018iri_qm21,829,3940,4499,88,1710,2481,178.2165542863847,218.73871407948457,BLUE,0.7624794685075278,BLUE,True,0.056416002880466484
2018iri_qm22,6800,1731,1741,33,133,4944,177.2925405382951,228.25198418544207,BLUE,0.8125599585244436,BLUE,True,0.03513376914835829
2018iri_qm23,3641,2013,3357,3538,2056,1806,261.33411752990133,286.4658773489119,BLUE,0.6733443255761409,BLUE,True,0.10670392963330624
2018iri_qm24,3478,1746,624,5254,2834,225,225.73340643800248,239.59638365774913,BLUE,0.5984494323810431,RED,False,0.35814172311719267
2018iri_qm25,1218,708,245,1024,217,3847,187.79624887503218,233.35547730944575,BLUE,0.7877306121143343,BLUE,True,0.045058293033355214
2018iri_qm26,20,829,4265,340,2451,694,184.24961899015622,253.42963810795106,BLUE,0.8798659125540074,BLUE,True,0.014432198966481404
2018iri_qm27,88,2363,302,195,1640,4944,204.66505779078105,255.13971898951863,BLUE,0.8104255306272599,BLUE,True,0.035938479437955986
2018iri_qm28,2655,359,133,4499,2468,494,254.79965793358843,199.1227318825433,RED,0.16763099548055788,RED,True,0.028100150645802815
2018iri_qm29,1747,1710,3478,2056,2771,3452,221.4191407925988,274.0230950420036,BLUE,0.8196626383843345,BLUE,True,0.0325215639944993
2018iri_qm30,4967,3940,1720,2337,2168,3641,153.01503813415488,252.40105836893082,BLUE,0.9458619625812158,BLUE,True,0.0029309270955576784
2018iri_qm31,2013,6800,4587,1706,2614,319,176.58771626766242,268.15669262486983,BLUE,0.9331158284721854,BLUE,True,0.00447349240096212
2018iri_qm32,33,2481,384,2791,3357,3538,252.96953209381041,283.8051057534915,BLUE,0.7083779476556121,RED,False,0.5017993167247772
2018iri_qm33,865,1806,2590,2826,4028,1741,262.76946262762687,199.41980691204253,RED,0.13903242541895364,RED,True,0.019330015317876904
2018iri_qm34,469,1102,868,234,225,1731,229.73162603489249,231.59630591078266,BLUE,0.5134142305059277,BLUE,True,0.23676571107413844
2018iri_qm35,67,118,1619,3707,5406,1533,303.93942304142666,301.02131010896505,RED,0.4790148244764243,RED,True,0.22945520206817957
2018iri_qm36,2771,494,4265,195,245,6800,227.91107299106858,220.6144755849724,RED,0.4476888870721479,BLUE,False,0.3050475654636027
2018iri_qm37,5254,319,4587,384,2655,3641,241.83617675006977,239.48201512087996,RED,0.48306692345991964,RED,True,0.23335365254103185
