Team,2011,2012,2013,2014,2015,2016,2017,2018,Avg
frc1640,60.25019738035607,48.3513584716817,82.68233870314222,65.06213361745884,77.4152236345186,87.93682693654931,75.29322044140402,129.00426509674392,109.89208918473886
frc167,14.527504077470013,16.0,23.0,39.39662122703732,24.62288826689833,34.47204357365766,25.238460473570786,36.057425816859244,32.93132594109647
frc1690,58.60247407521802,58.848702957887,35.0,52.0,65.55474150157472,101.20007077695212,102.08351075447531,102.57611863859121,100.06092061748748
frc1718,90.41249319234525,113.86820705909366,106.78223211065756,120.00685915346077,100.07518630384905,98.74893430815244,92.49660347129705,91.17035147560044,92.8958590580237
frc177,111.7872892933991,73.25309259402252,47.39905991377928,82.90969618811879,22.160599440208493,76.65736535126338,66.50206435564372,94.95964289187646,83.8689792579049
frc1811,7.509980921403989,29.012787353925308,22.160599440208493,19.082738406846204,37.172948793667516,38.00397065530152,37.54990460701995,15.389305166811454,23.384310438406096
frc1899,79.28570021941262,28.931893713605536,50.79555102220788,22.776171646880954,28.931893713605536,11.695871926776706,41.85891005372716,14.773732960138997,21.65016565924666
frc190,48.84900618376562,56.449800314825914,28.82740213121652,68.66196046292103,28.116542308767887,71.39025028263976,74.34589758733503,30.011188016905884,44.50653962507991
frc191,49.24577653379666,59.833618488562934,39.519735668371816,18.467166200173747,18.83650952417722,17.482250669497812,50.230692064472585,51.81516974710622,46.873476361618394
frc1912,67.5898282926359,61.43410622591132,69.05599545902349,21.545027233536036,19.69831061351866,28.931893713605536,45.23399434094425,14.158160753466538,23.385811601734858
frc1918,94.50492792192333,82.88037835486787,93.89864129531917,80.22250153629174,60.818127231229724,78.5520110594014,61.765450085298724,104.88758640251956,90.59386806280165
frc2016,123.55925093540715,74.61502971173479,78.28676066026206,55.037498023686226,59.44568396669054,48.1618939008679,54.68864069909243,56.82022028004826,55.78959979673733
frc2022,24.192771563496823,31.60818047184834,15.389305166811454,42.47448226039961,14.158160753466538,16.00487737348391,20.92945502686358,16.62044958015637,17.837880555173292
frc203,15.758648490814931,19.69831061351866,30.16303812695045,36.474542567954025,49.37446715407622,36.93433240034749,62.03070048443804,53.23954439867774,53.33485961727482
frc2054,103.82658480596227,87.07791674602238,111.25359598186323,75.25532752724126,80.41698032789488,77.52890237700687,83.44019698639741,105.1806131253603,96.44703054878795
frc2169,116.79269030653639,107.80150700516016,109.93343706631123,48.10746529293046,67.10945062058123,41.2433378470547,91.58030001814123,60.99173827119122,66.80487534495538
frc2175,40.75088008171673,40.01219343370978,68.40714717954273,89.72644779105335,36.93433240034749,50.98093624491668,57.24821522053861,59.60134910087531,57.90283169096383
