Team,2011,2012,2013,2014,2015,2016,2017,2018,Avg
frc155,61.08443088254562,13.0,44.77053128417228,45.88284262042501,31.11008252762592,52.292221544608736,18.467166200173747,31.978950917265916,16.426243065264465
frc1622,28.17855385173576,27.813398995465807,38.423414961038596,20.39237449796667,28.19232813709341,8.18486945915615,27.813398995465807,45.774640308614025,20.31956295060504
frc1629,35.87204059415046,42.45321600031243,43.658219947919555,50.33208796543592,40.78474899593334,57.93826575485997,42.061134720663546,77.90783151863447,35.73941313088372
frc1640,50.98093624491668,48.3513584716817,67.52517303803823,65.06213361745884,62.25805796941461,68.48894777623616,42.32638511980287,88.16371886008629,40.242322812165455
frc167,14.527504077470013,16.0,23.0,39.39662122703732,24.62288826689833,34.47204357365766,25.238460473570786,36.057425816859244,17.73937178036911
frc1690,46.291029941768855,46.537258824437835,35.0,32.0,57.97615866902273,88.88862664350295,69.49560457450175,79.08251185768002,40.9522788445464
frc1718,58.014051583185484,53.429008969491534,80.06772762591179,87.608417544301,41.53063392238491,72.03442982340667,50.624933321447294,66.53995726980648,33.69551963400549
frc177,88.61413645480062,48.6302043271242,47.39905991377928,81.01505047998079,19.082738406846204,68.32092423545619,58.92348152309173,87.38106005932447,41.397278617937076
frc1811,7.509980921403989,26.69547207006546,22.160599440208493,19.082738406846204,35.278303085529515,38.00397065530152,37.54990460701995,15.389305166811454,12.233615935592542
frc1899,39.27350678570283,25.854032680243243,39.20897460290864,19.69831061351866,22.776171646880954,11.695871926776706,26.4696048869157,11.695871926776706,8.334154378727721
frc190,37.262429764466376,42.545908611666825,28.82740213121652,53.50479479781705,28.116542308767887,54.33843890939777,64.87266904664504,30.011188016905884,21.454922627846614
frc191,49.24577653379666,47.522174355113776,39.519735668371816,18.467166200173747,18.83650952417722,17.482250669497812,50.230692064472585,33.27664747622743,18.95313661647095
frc1912,24.499773825563835,21.421912792201542,27.344320349546216,21.545027233536036,19.69831061351866,25.854032680243243,17.426210934626063,14.158160753466538,8.630207439390006
frc1918,75.55847084054335,74.77709537140406,78.74147563021519,73.7398751495207,53.23954439867774,69.0787825187114,59.870804377160724,81.39397962160838,39.99454282210049
frc2016,93.4341522452291,63.27043353488545,40.39384649750211,30.403517753956226,36.75649161299186,34.899373943901914,36.150118428213645,51.95825048996998,24.84508897926424
frc2022,21.875456279636975,29.29086518798849,15.389305166811454,30.16303812695045,14.158160753466538,16.00487737348391,20.92945502686358,13.54258854679408,8.368870477537248
frc203,12.68078745745264,13.54258854679408,20.92945502686358,24.656234620268794,45.58517573780022,21.545027233536036,37.400306278644074,36.187733025435755,18.9449419542229
frc2054,88.6694191408583,79.49933391347038,87.75998920095206,67.67674469468928,59.67257589022752,53.27743731284049,52.36800737293425,75.36053174621347,36.391300686338674
frc2169,68.12906934547955,68.40714717954273,91.39491479543243,12.88427297826076,36.984351930403186,35.08761578033012,61.45520132796319,30.866639581013185,20.577146583636853
frc2175,34.59515801499215,24.62288826689833,63.772516611823036,61.91866438473516,33.8564713669852,44.02899039333713,32.62532695364028,57.28403381701546,26.786740081283483
frc229,66.83137278651803,26.4696048869157,40.62776564038224,36.33550365092243,22.160599440208493,35.77934798279607,62.56751266421592,28.316321506933075,19.63549374471209
frc238,14.896847401473487,7.0,13.54258854679408,11.080299720104247,11.695871926776706,81.16662213663182,42.81899300391875,79.50941263374693,36.6617661322684
frc2500,16.40659220972773,16.313899598373336,22.160599440208493,12.606195144197578,16.684670043790913,5.540149860052123,28.64201690850773,12.513502532843184,8.453740633306786
frc2512,71.83677379965532,47.82938745886728,59.230578655457734,37.54990460701995,43.56552733656516,51.708065360486486,56.26441509211713,32.34972136268349,21.323449383660527
frc2543,10.46472751343179,16.62044958015637,30.403176524241214,35.501270148732885,19.69831061351866,19.082738406846204,38.83820415749106,29.547465920277993,16.389720710658708
frc2549,39.39662122703732,30.0,10.0,26.0,17.0,14.0,5.0,22.52430455911773,9.493517403218474
frc2949,24.992231590901802,46.53169089990577,,,,,,,0.03476620067946264
