Event,Mean,StDev,Score
2019micen,24.197080199243235,27.261023475056742,0.8876071810503758
2019miwmi,24.01199961740514,27.105544480350606,0.8858704031867708
2019ndgf,19.20280395289339,21.752311422048777,0.8827937215641768
2019nyro,20.195419317727993,23.509842523026684,0.8590197615295643
2019ksla,23.681241428537525,27.640964863462486,0.8567443844856818
2019milak,19.633555178665887,23.138532133815506,0.8485220698149942
2019migib,21.59851808135075,25.45939252490286,0.8483516666874266
2019onlon,18.314493082966855,21.629254475802433,0.8467463870960535
2019mimus,19.064295872630833,22.545886978082997,0.8455775499612571
2019tnkn,15.778789489282008,18.731745989446278,0.8423555123036579
2019mitvc,16.15015851608562,19.215546270948423,0.840473556585935
2019mndu2,17.72670162208477,21.24505216829883,0.8343920025075756
2019mxmo,17.589552152514354,21.1570945132569,0.8313784362731307
2019wimi,18.895821497479314,22.759383609233524,0.8302431129906894
2019inmis,21.609960682604083,26.348264268936926,0.8201663859915422
2019gafor,19.828304713234715,24.389991632328442,0.8129689018405688
2019mialp,18.442345503805434,22.68648370771671,0.8129221672873151
2019nyli,14.488866415737057,17.861724079758677,0.8111684152682763
2019mawne,23.494567181299956,29.001019777635914,0.8101290010297414
2019onwin,21.33001618525797,26.423878657896612,0.8072250278398712
2019mxcm,17.571588794082658,21.935855646560903,0.8010441478647097
2019nyli2,19.995926534538167,24.99071044247026,0.8001343771546507
2019onnob,23.036382144919372,28.82321304293529,0.7992301937540479
2019iacf,15.340150276793647,19.20660735307687,0.7986913042368297
2019mial2,18.154152801013822,22.811977185067956,0.7958167174083004
2019paca,19.286777835955288,24.247761224442666,0.7954044770332644
2019casd,17.73791617907775,22.412277498825716,0.79143746903933
2019cave,16.560217869631494,21.07319061933991,0.7858429304214314
2019ingre,24.883633315550853,31.70596115528455,0.7848250741770496
2019azfl,21.514702330473146,27.46141304831026,0.7834521221695464
2019mimar,23.040004968453765,29.41452990120359,0.7832865269592838
2019gadal,21.210390880027322,27.20394217043914,0.7796807810845648
2019nysu,19.463910024587808,25.136731432667347,0.7743214378020835
2019misou,20.595122532178724,26.630024473720066,0.7733797823769593
2019miket,20.026091224299005,25.991601236560175,0.7704831665441991
2019waahs,22.20509979539782,28.909279745070236,0.7680959190684905
2019gagai,23.121944816397484,30.832264919396163,0.7499268988783169
