Team #,DP,DivDP,OPR,CCWM,Region
5414,11,11,118.04912264443108,118.04912264443108,Texas
5496,27,27,99.22798497892566,99.22798497892566,California
5572,41,41,151.5405548728109,151.5405548728109,Texas
5801,10,10,92.43006793040317,92.43006793040317,Missouri
5809,9,9,88.94248196565422,88.94248196565422,Missouri
5839,8,8,55.89100199348328,55.89100199348328,China
585,11,11,27.598846046548516,27.598846046548516,California
5854,7,7,81.19603079857447,81.19603079857447,NC
59,12,12,122.54539077206772,122.54539077206772,Florida
6014,6,6,35.76276575200555,35.76276575200555,Turkey
6025,29,29,108.87677714453598,108.87677714453598,Turkey
6050,15,15,77.50433311245598,77.50433311245598,Australia
6060,8,8,81.49846546861552,81.49846546861552,California
6353,14,14,75.14242121392324,75.14242121392324,China
6672,16,16,137.55923679698265,137.55923679698265,Texas
6702,14,14,99.31466854537297,99.31466854537297,Mexico
6705,17,17,102.0989212158447,102.0989212158447,PCH
6803,8,8,140.5154984907298,140.5154984907298,China
6885,14,14,102.23496936961514,102.23496936961514,California
6907,15,15,123.27740431148868,123.27740431148868,China
6919,12,12,123.87876517757573,123.87876517757573,PCH
7034,17,17,97.33159685767718,97.33159685767718,PNW
7039,34,34,110.97874568106216,110.97874568106216,ISR
7140,6,6,74.61444677298547,74.61444677298547,Turkey
7157,9,9,114.87279419598516,114.87279419598516,California
7173,11,11,58.22713337898585,58.22713337898585,Canada
7293,8,8,53.296701459958825,53.296701459958825,Turkey
957,16,16,144.8732462235085,144.8732462235085,PNW
973,33,33,175.12011087536177,175.12011087536177,California
980,10,10,89.84419865858169,89.84419865858169,California
1011,25,25,152.99534150642347,152.99534150642347,Arizona
118,61,61,149.4907658719873,149.4907658719873,Texas
1251,16,16,147.4080457402829,147.4080457402829,Florida
1619,84,69,193.40139781574442,193.40139781574442,Colorado
1648,41,41,195.8577582366574,195.8577582366574,PCH
1678,87,72,201.43114116445605,201.43114116445605,California
1700,9,9,37.54786900608789,37.54786900608789,California
1723,17,17,140.0840745200251,140.0840745200251,Missouri
1868,7,7,71.92356129028101,71.92356129028101,California
1982,21,21,96.78049302676013,96.78049302676013,Kansas
2367,16,16,119.92673957402376,119.92673957402376,California
2403,28,28,164.64118294743824,164.64118294743824,Arizona
2840,5,5,85.51312013100413,85.51312013100413,Arizona
2905,8,8,89.49311896030207,89.49311896030207,Turkey
2980,14,14,99.68888335164753,99.68888335164753,PNW
3128,35,35,110.16215413909732,110.16215413909732,California
3140,14,14,101.23179839011016,101.23179839011016,Tennessee
3158,16,16,157.71161879764117,157.71161879764117,Mexico
3164,21,21,112.07700343326552,112.07700343326552,Florida
3309,33,33,181.3811834392663,181.3811834392663,California
3310,58,58,165.32385401401092,165.32385401401092,Texas
3472,4,4,50.75243355623563,50.75243355623563,Mexico
3473,11,11,100.25202850411056,100.25202850411056,California
3481,16,16,111.24625124566955,111.24625124566955,Texas
3501,6,6,107.22536361958662,107.22536361958662,California
3737,12,12,146.756451869257,146.756451869257,NC
3853,35,35,190.17767926081066,190.17767926081066,Arizona
4061,57,42,121.50222056216128,121.50222056216128,PNW
4125,10,10,65.35541298482843,65.35541298482843,PNW
4270,10,10,84.31450326424681,84.31450326424681,Hawaii
4468,15,15,179.1210228797818,179.1210228797818,PCH
4513,28,28,164.82090586847173,164.82090586847173,PNW
4576,13,13,119.58869172005342,119.58869172005342,Tennessee
5098,8,8,70.11927503340372,70.11927503340372,Missouri
5104,26,26,102.96074685024767,102.96074685024767,California
5199,30,30,153.9049046480495,153.9049046480495,California
5554,33,33,126.39061976653909,126.39061976653909,ISR
5654,21,21,123.75304961746781,123.75304961746781,ISR
5663,15,15,108.97347580698205,108.97347580698205,Australia
5700,8,8,45.355221387947715,45.355221387947715,California
5726,7,7,61.074975169465894,61.074975169465894,Texas
5802,9,9,111.7323087896058,111.7323087896058,California
5849,9,9,34.827070010160064,34.827070010160064,China
5997,11,11,90.65071651147004,90.65071651147004,Louisiana
604,22,22,139.56284480113607,139.56284480113607,California
624,40,40,186.45224835309557,186.45224835309557,Texas
6377,11,11,137.6697529548706,137.6697529548706,Texas
6424,14,14,106.61164312488955,106.61164312488955,Missouri
6474,13,13,114.37880010684862,114.37880010684862,California
6508,13,13,129.94735630622438,129.94735630622438,Australia
6510,14,14,103.83314011446143,103.83314011446143,Australia
6645,11,11,61.203065898927214,61.203065898927214,Texas
6814,10,10,74.45538983860293,74.45538983860293,California
6844,17,17,106.70498476624022,106.70498476624022,Utah
687,39,39,159.3657921627592,159.3657921627592,California
6871,13,13,54.516557017294964,54.516557017294964,Arizona
6891,7,7,59.087166031331286,59.087166031331286,Oklahoma
7067,6,6,0.793099221957192,0.793099221957192,ISR
7128,5,5,55.2102014976155,55.2102014976155,Australia
7134,11,11,50.322334283876025,50.322334283876025,Turkey
7137,10,10,101.05935207594395,101.05935207594395,California
7190,6,6,31.79826334696523,31.79826334696523,Canada
7303,8,8,46.08170926158377,46.08170926158377,Texas
812,8,8,87.08354195765315,87.08354195765315,California
832,9,9,163.96763657657792,163.96763657657792,PCH
968,30,30,109.45334031480571,109.45334031480571,California
971,36,36,151.02355021996237,151.02355021996237,California
1002,15,15,89.18145045395971,89.18145045395971,PCH
1072,34,29,82.75793123124389,82.75793123124389,California
1178,13,13,122.69090986700604,122.69090986700604,Missouri
1323,83,73,190.33429249979326,190.33429249979326,California
1515,9,9,40.344350766838055,40.344350766838055,California
1540,14,14,113.71318815852962,113.71318815852962,PNW
1710,22,22,111.4907789862498,111.4907789862498,Kansas
1730,26,26,138.588895252576,138.588895252576,Missouri
1763,5,5,88.24074772793139,88.24074772793139,Missouri
1775,11,11,103.88500425531625,103.88500425531625,Missouri
1778,31,26,84.89848889119573,84.89848889119573,PNW
179,56,56,189.7404430327477,189.7404430327477,Florida
1983,21,21,98.99078936638861,98.99078936638861,PNW
2073,22,22,157.76594139315256,157.76594139315256,California
2080,5,5,53.97761300314073,53.97761300314073,Louisiana
2352,10,10,95.383565502093,95.383565502093,Oklahoma
2383,35,35,89.40474166511666,89.40474166511666,Florida
2521,44,44,146.26425299858508,146.26425299858508,PNW
2522,30,30,189.24947085503916,189.24947085503916,PNW
2576,12,12,83.12965162657636,83.12965162657636,Chile
2584,12,12,155.34823914462962,155.34823914462962,California
2906,8,8,72.7753416286682,72.7753416286682,PNW
3239,9,9,88.77072315074285,88.77072315074285,Utah
3250,29,29,155.12381229510618,155.12381229510618,California
3288,8,8,108.3609669339848,108.3609669339848,Wyoming
3316,45,45,137.0726453797171,137.0726453797171,ISR
3390,4,4,75.40079400156012,75.40079400156012,Turkey
3476,78,68,191.2638935883447,191.2638935883447,California
3646,53,53,167.40115054604172,167.40115054604172,Turkey
3792,16,16,121.3054508520707,121.3054508520707,Missouri
3880,10,10,124.81524220530726,124.81524220530726,Hawaii
3882,15,15,163.14189646635998,163.14189646635998,Hawaii
3959,27,27,156.24334181152167,156.24334181152167,Alabama
4159,15,15,103.44777313014599,103.44777313014599,California
4188,31,31,127.05985989558688,127.05985989558688,PCH
4191,29,29,126.47323504806002,126.47323504806002,Turkey
4401,11,11,87.36441350206503,87.36441350206503,Mexico
4522,43,43,186.3405096179904,186.3405096179904,Missouri
4802,9,9,61.50645129533213,61.50645129533213,Australia
488,21,21,129.91232298717105,129.91232298717105,PNW
4980,30,30,174.95497610072323,174.95497610072323,PNW
5212,13,13,92.14862286783047,92.14862286783047,Texas
5410,14,14,78.02057713276957,78.02057713276957,Florida
5429,15,15,97.81107439825392,97.81107439825392,Nevada
5437,31,31,145.54833983290902,145.54833983290902,Arkansas
